Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 21.15 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;7.650.000,00;0;-7.650.000,00;-100;Perjalanan dinas dalam daerahGolongan 4Golongan 3Golongan 2
1.01 . 1.01.02 . 21.22 ;Penyusunan Profil Pendidikan dan Buku Saku ;105.880.000,00;115.605.000,00;9.725.000,00;9,18;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 21.22 . 5.2.1 ;Belanja Pegawai ;21.000.000,00;36.000.000,00;15.000.000,00;71,43;
1.01 . 1.01.02 . 21.22 . 5.2.1.01 ;Honorarium PNS ;21.000.000,00;36.000.000,00;15.000.000,00;71,43;
1.01 . 1.01.02 . 21.22 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;14.000.000,00;9.000.000,00;-5.000.000,00;-35,71;"Honor panitia pelaksana kegiatan1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor penyusun naskah buletin
Honor penyusun naskah buletin1 org/bjj x 5.000.000,00 = 5.000.000,00
Honor tim penyusun buku saku1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor tim penyusun buku karakter bangsa"
1.01 . 1.01.02 . 21.22 . 5.2.1.01.05 ;Honorarium Staf Ahli ;7.000.000,00;27.000.000,00;20.000.000,00;285,71;"Honor tenaga ahli/penyusun naskah/draff/materi dll
Honor penyusun buletin1 org/bjj x 5.000.000,00 = 5.000.000,00
Honor penyusun buku saku1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor penyusun buku karakter1 bjj x 20.000.000,00 = 20.000.000,00"
1.01 . 1.01.02 . 21.22 . 5.2.2 ;Belanja Barang dan Jasa ;84.880.000,00;79.605.000,00;-5.275.000,00;-6,21;
1.01 . 1.01.02 . 21.22 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;350.000,00;350.000,00;0;0;
1.01 . 1.01.02 . 21.22 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;350.000,00;350.000,00;0;0;Belanja ATK1 ls x 350.000,00 = 350.000,00
1.01 . 1.01.02 . 21.22 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;75.250.000,00;77.750.000,00;2.500.000,00;3,32;
1.01 . 1.01.02 . 21.22 . 5.2.2.06.01 ;Belanja Cetak ;74.500.000,00;77.000.000,00;2.500.000,00;3,36;"Belanja barang cetak dan penggandaan
Belanja barang cetak buletin1 keg x 10.000.000,00 = 10.000.000,00
Belanja cetak buku saku200 buah x 10.000,00 = 2.000.000,00
Belanja cetak buku karakter bangsa1 paket x 65.000.000,00 = 65.000.000,00"
1.01 . 1.01.02 . 21.22 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;750.000,00;750.000,00;0;0;Belanja penggandaan/fotocopy5,000 lbr x 150,00 = 750.000,00
1.01 . 1.01.02 . 21.22 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.780.000,00;1.505.000,00;-2.275.000,00;-60,19;
1.01 . 1.01.02 . 21.22 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.780.000,00;1.505.000,00;-2.275.000,00;-60,19;"Belanja makan minum kegiatan
Belanja makan minum kegiatan penyusunan buletin50 orang x 17.500,00 = 875.000,00
Belanja makan minum kegiatan penyusunan buku saku36 orang x 17.500,00 = 630.000,00
Belanja makan minum penyusunan buku karakter bangsa"
1.01 . 1.01.02 . 21.22 . 5.2.2.15 ;Belanja Perjalanan Dinas ;5.500.000,00;0;-5.500.000,00;-100;
1.01 . 1.01.02 . 21.22 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;5.500.000,00;0;-5.500.000,00;-100;"Belanja perjalanan dinas dalam daerah dalam kabupatenGolongan 4Golongan 3Golongan 2
Belanja perjalanan dinas dalam daerah dalam provinsiGolongan 44 org x 0,00 = 0,00Golongan 34 org x 0,00 = 0,00"
1.01 . 1.01.02 . 21.23 ;Pengelolaan Informasi dan Dokumentasi ;22.950.000,00;36.370.000,00;13.420.000,00;58,47;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 21.23 . 5.2.1 ;Belanja Pegawai ;2.500.000,00;2.500.000,00;0;0;
1.01 . 1.01.02 . 21.23 . 5.2.1.01 ;Honorarium PNS ;2.500.000,00;2.500.000,00;0;0;
1.01 . 1.01.02 . 21.23 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.500.000,00;2.500.000,00;0;0;Honorarium Tim1 bjj x 2.500.000,00 = 2.500.000,00
1.01 . 1.01.02 . 21.23 . 5.2.2 ;Belanja Barang dan Jasa ;20.450.000,00;33.870.000,00;13.420.000,00;65,62;
1.01 . 1.01.02 . 21.23 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;1.000.000,00;1.000.000,00;0;0;
1.01 . 1.01.02 . 21.23 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;1.000.000,00;1.000.000,00;0;0;Belanja alat tulis kantor1 ls x 1.000.000,00 = 1.000.000,00
1.01 . 1.01.02 . 21.23 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;750.000,00;750.000,00;0;0;
1.01 . 1.01.02 . 21.23 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;750.000,00;750.000,00;0;0;Belanja foto copy5,000 lbr x 150,00 = 750.000,00
1.01 . 1.01.02 . 21.23 . 5.2.2.08 ;Belanja Sewa Sarana Mobilitas ;0;3.000.000,00;3.000.000,00;0;
1.01 . 1.01.02 . 21.23 . 5.2.2.08.01 ;Belanja Sewa Sarana Mobilitas Darat ;0;3.000.000,00;3.000.000,00;0;Sewa Sarana Mobilitas Darat2 hari x 1.500.000,00 = 3.000.000,00
1.01 . 1.01.02 . 21.23 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.000.000,00;3.420.000,00;420.000,00;14;
1.01 . 1.01.02 . 21.23 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.000.000,00;3.420.000,00;420.000,00;14;"Belanja makan dan minum rapat120 dos x 20.000,00 = 2.400.000,00
Belanja Snack minum rapat120 dos x 8.500,00 = 1.020.000,00"
1.01 . 1.01.02 . 21.23 . 5.2.2.15 ;Belanja Perjalanan Dinas ;15.700.000,00;25.700.000,00;10.000.000,00;63,69;
1.01 . 1.01.02 . 21.23 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;1.500.000,00;1.500.000,00;0;0;"Belanja perjalanan dinas dalam daerah kab. Bantul
Belanja perjalanan dinas dalam daerah golongan 415 oj x 50.000,00 = 750.000,00
Belanja perjalanan dinas dalam daerah golongan 315 oj x 40.000,00 = 600.000,00
Belanja perjalanan dinas dalam daerah golongan 25 oj x 30.000,00 = 150.000,00"
1.01 . 1.01.02 . 21.23 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;14.200.000,00;24.200.000,00;10.000.000,00;70,42;"Belanja perjalanan dinas luar daerah
Golongan 410 oj x 1.100.000,00 = 11.000.000,00
Golongan 38 oj x 950.000,00 = 7.600.000,00
Golongan 27 org x 800.000,00 = 5.600.000,00"
1.01 . 1.01.02 . 21.24 ;Pengembangan Pendidikan Mitigasi Bencana di Sekolah ;85.912.500,00;54.750.000,00;-31.162.500,00;-36,27;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.24 . 5.2.1 ;Belanja Pegawai ;4.500.000,00;1.250.000,00;-3.250.000,00;-72,22;
1.01 . 1.01.02 . 21.24 . 5.2.1.01 ;Honorarium PNS ;4.500.000,00;1.250.000,00;-3.250.000,00;-72,22;
1.01 . 1.01.02 . 21.24 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;4.500.000,00;1.250.000,00;-3.250.000,00;-72,22;Honor panitia1 org/bjj x 1.250.000,00 = 1.250.000,00
1.01 . 1.01.02 . 21.24 . 5.2.2 ;Belanja Barang dan Jasa ;33.912.500,00;43.500.000,00;9.587.500,00;28,27;
1.01 . 1.01.02 . 21.24 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;6.387.500,00;8.400.000,00;2.012.500,00;31,51;
1.01 . 1.01.02 . 21.24 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;6.387.500,00;8.400.000,00;2.012.500,00;31,51;"Belanja ATK1 keg x 700.000,00 = 700.000,00
Belanja ATK peserta110 org x 70.000,00 = 7.700.000,00"
1.01 . 1.01.02 . 21.24 . 5.2.2.03 ;Belanja Jasa Kantor ;0;5.250.000,00;5.250.000,00;0;
1.01 . 1.01.02 . 21.24 . 5.2.2.03.12 ;Belanja Transportasi dan Akomodasi ;0;4.950.000,00;4.950.000,00;0;"Belanja transportasi lokal untuk peserta
Transport lokal/uang harian peserta110 org x 45.000,00 = 4.950.000,00"
1.01 . 1.01.02 . 21.24 . 5.2.2.03.13 ;Belanja Dokumentasi ;0;300.000,00;300.000,00;0;Belanja dokumentasi1 keg x 300.000,00 = 300.000,00
1.01 . 1.01.02 . 21.24 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;2.500.000,00;2.000.000,00;-500.000,00;-20;
1.01 . 1.01.02 . 21.24 . 5.2.2.07.03 ;Belanja Sewa Ruang Rapat/Pertemuan ;2.500.000,00;2.000.000,00;-500.000,00;-20;"Belanja sewa tempat
Belanja sewa ruang rapat/pertemuan1 keg x 2.000.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 21.24 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;18.025.000,00;19.350.000,00;1.325.000,00;7,35;
1.01 . 1.01.02 . 21.24 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;525.000,00;1.225.000,00;700.000,00;133,33;Belanja makan minum rapat70 org x 17.500,00 = 1.225.000,00
1.01 . 1.01.02 . 21.24 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;17.500.000,00;18.125.000,00;625.000,00;3,57;Belanja makan dan minum kegiatan125 org x 145.000,00 = 18.125.000,00
1.01 . 1.01.02 . 21.24 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;7.000.000,00;8.500.000,00;1.500.000,00;21,43;
1.01 . 1.01.02 . 21.24 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;4.000.000,00;3.550.000,00;-450.000,00;-11,25;"Honor narasumber, moderator, pembawa acara, dirijen lagu, pembaca do'a
Honor narasumber6 org x 400.000,00 = 2.400.000,00
Honor moderator4 org x 200.000,00 = 800.000,00
Honor pembawa acara1 org x 150.000,00 = 150.000,00
Honor direjen lagu1 org x 100.000,00 = 100.000,00
Honor pembaca do'a1 org x 100.000,00 = 100.000,00"
1.01 . 1.01.02 . 21.24 . 5.2.2.34.05 ;Honor Peserta Seminar/Simposium /Workshop/Sosialisasi;3.000.000,00;4.950.000,00;1.950.000,00;65;Honor pesertaUang harian / transport peserta110 org x 45.000,00 = 4.950.000,00
1.01 . 1.01.02 . 21.24 . 5.2.3 ;Belanja Modal ;47.500.000,00;10.000.000,00;-37.500.000,00;-78,95;
1.01 . 1.01.02 . 21.24 . 5.2.3.38 ;Belanja Modal Alat Peraga Pendidikan ;47.500.000,00;10.000.000,00;-37.500.000,00;-78,95;
1.01 . 1.01.02 . 21.24 . 5.2.3.38.01 ;Belanja Modal Alat Peraga Pendidikan ;47.500.000,00;10.000.000,00;-37.500.000,00;-78,95;"Belanja alat-alat peraga pendidikan kebencanaan
Belanja alat peraga pendidikan kebencanaan, poster, dan kebutuhan lain untuk pengurangan resiko bencana di sekolah1 keg x 10.000.000,00 = 10.000.000,00"
1.01 . 1.01.02 . 21.25 ;Achivement Motivation Training (AMT) untuk mencapai prestasi dalam Ujian Nasional ;226.345.200,00;449.845.200,00;223.500.000,00;98,74;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.25 . 5.2.1 ;Belanja Pegawai ;1.250.000,00;1.250.000,00;0;0;
1.01 . 1.01.02 . 21.25 . 5.2.1.01 ;Honorarium PNS ;1.250.000,00;1.250.000,00;0;0;
1.01 . 1.01.02 . 21.25 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.250.000,00;1.250.000,00;0;0;"Honor penaitia pelaksana kegiatan
Honor panitia1 org/bjj x 1.250.000,00 = 1.250.000,00"
1.01 . 1.01.02 . 21.25 . 5.2.2 ;Belanja Barang dan Jasa ;225.095.200,00;448.595.200,00;223.500.000,00;99,29;
1.01 . 1.01.02 . 21.25 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;2.282.700,00;2.282.700,00;0;0;
1.01 . 1.01.02 . 21.25 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;2.282.700,00;2.282.700,00;0;0;"Belanja ATK1 keg x 782.700,00 = 782.700,00
Belanja ATK peserta100 keg x 15.000,00 = 1.500.000,00"
1.01 . 1.01.02 . 21.25 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;19.200.000,00;19.000.000,00;9.500,00;
1.01 . 1.01.02 . 21.25 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;200.000,00;0;0;Belanja dokumentasi1 keg x 200.000,00 = 200.000,00
1.01 . 1.01.02 . 21.25 . 5.2.2.03.24 ;Belanja Jasa Penghitungan/Penilai ;0;19.000.000,00;19.000.000,00;0;Biaya koreksiBelanja koreksi hasil pengerjaan soal1 keg x 19.000.000,00 = 19.000.000,00
1.01 . 1.01.02 . 21.25 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;1.500.000,00;169.200.000,00;167.700.000,00;11.180,00;
1.01 . 1.01.02 . 21.25 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;1.500.000,00;169.200.000,00;167.700.000,00;11.180,00;"Belanja footocopy materi
Belanja penggandaan naskah soal tertulis, master dan rekaman soal listening, lembar jawab komputer, amplop soal, daftar hadir, berita acara untuk menyongsong Ujian Nasional1 keg x 169.200.000,00 = 169.200.000,00"
1.01 . 1.01.02 . 21.25 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;35.612.500,00;35.612.500,00;0;0;
1.01 . 1.01.02 . 21.25 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;612.500,00;612.500,00;0;0;Belanja makan minum rapatBelanja makan dan minum rapat35 org x 17.500,00 = 612.500,00
1.01 . 1.01.02 . 21.25 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;35.000.000,00;35.000.000,00;0;0;"Belanja makan dan minum kegiatan
Belanja makan dan minum kegiatan untuk peserta, pendamping, pembimbing2,000 org x 17.500,00 = 35.000.000,00"
1.01 . 1.01.02 . 21.25 . 5.2.2.30 ;Belanja Operasional Pendidikan ;157.500.000,00;157.500.000,00;0;0;
1.01 . 1.01.02 . 21.25 . 5.2.2.30.05 ;Belanja Operasional Pendidikan SMA/SMK ;157.500.000,00;157.500.000,00;0;0;"Belanja operasional pendidikan untuk test psikologi/penjajakan bakat, minat siswa
Belanja operasional aplikasi test psikologi (dermatoglyphics method)1 keg x 157.500.000,00 = 157.500.000,00"
1.01 . 1.01.02 . 21.25 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;28.000.000,00;64.800.000,00;36.800.000,00;131,43;
1.01 . 1.01.02 . 21.25 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;28.000.000,00;64.800.000,00;36.800.000,00;131,43;"Honor Penyelenggaraan kegiatan
Honor pendamping kegiatan1 org/bjj x 4.500.000,00 = 4.500.000,00
Honor pembimbing khusus/tenaga ahli1 org/bjj x 6.500.000,00 = 6.500.000,00
Honor penyusun materi1 org/bjj x 10.000.000,00 = 10.000.000,00
Uang harian peserta per hari800 org x 15.000,00 = 12.000.000,00
Honor penyusun naskah soal SMA/MA dan SMK (62 dan 44 org)106 org x 300.000,00 = 31.800.000,00"
1.01 . 1.01.02 . 21.26 ;Bimtek Administrasi Sekolah bagi Pengelola Keuangan di Sekolah ;20.237.500,00;46.887.380,00;26.649.880,00;131,69;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.26 . 5.2.1 ;Belanja Pegawai ;3.500.000,00;850.000,00;-2.650.000,00;-75,71;
1.01 . 1.01.02 . 21.26 . 5.2.1.01 ;Honorarium PNS ;3.500.000,00;850.000,00;-2.650.000,00;-75,71;
1.01 . 1.01.02 . 21.26 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;3.500.000,00;850.000,00;-2.650.000,00;-75,71;"Honor panitia
Honor panitia pelaksana kegiatan1 keg/bjj x 850.000,00 = 850.000,00"
1.01 . 1.01.02 . 21.26 . 5.2.2 ;Belanja Barang dan Jasa ;16.737.500,00;46.037.380,00;29.299.880,00;175,06;
1.01 . 1.01.02 . 21.26 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;4.350.000,00;8.999.880,00;4.649.880,00;106,89;
1.01 . 1.01.02 . 21.26 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;4.350.000,00;8.999.880,00;4.649.880,00;106,89;"Belanja ATK
Bela ja ATK1 keg x 599.880,00 = 599.880,00
Belaja ATK peserta140 org x 60.000,00 = 8.400.000,00"
1.01 . 1.01.02 . 21.26 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;12.300.000,00;12.100.000,00;6.050,00;
1.01 . 1.01.02 . 21.26 . 5.2.2.03.12 ;Belanja Transportasi dan Akomodasi ;0;12.000.000,00;12.000.000,00;0;Transport lokal / uang harian peserta300 org x 40.000,00 = 12.000.000,00
1.01 . 1.01.02 . 21.26 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;300.000,00;100.000,00;50;Belanja dokumentasi1 keg x 300.000,00 = 300.000,00
1.01 . 1.01.02 . 21.26 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;437.500,00;500.000,00;62.500,00;14,29;
1.01 . 1.01.02 . 21.26 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;437.500,00;500.000,00;62.500,00;14,29;Belanja foto copy4,000 lbr x 125,00 = 500.000,00
1.01 . 1.01.02 . 21.26 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.950.000,00;18.737.500,00;11.787.500,00;169,6;
1.01 . 1.01.02 . 21.26 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;700.000,00;1.137.500,00;437.500,00;62,5;"Belanja makan minum rapat
Belanja makan dan minum rapat65 org x 17.500,00 = 1.137.500,00"
1.01 . 1.01.02 . 21.26 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;6.250.000,00;17.600.000,00;11.350.000,00;181,6;Belanja makan dan minum kegiatan320 org x 55.000,00 = 17.600.000,00
1.01 . 1.01.02 . 21.26 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;4.800.000,00;5.500.000,00;700.000,00;14,58;
1.01 . 1.01.02 . 21.26 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;4.800.000,00;5.500.000,00;700.000,00;14,58;"Honor narausmber
Honor narasumber11 org x 350.000,00 = 3.850.000,00
Honor moderator7 org x 150.000,00 = 1.050.000,00
Honor pembawa acara2 org x 100.000,00 = 200.000,00
Honor pemandu lagu kebangsaan2 org x 100.000,00 = 200.000,00
Honor pembaca do'a2 org x 100.000,00 = 200.000,00"
1.01 . 1.01.02 . 21.27 ;Penanaman Iman, Taqwa dan Akhlak Mulia ;103.555.000,00;55.859.512,00;-47.695.488,00;-46,06;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.27 . 5.2.1 ;Belanja Pegawai ;2.500.000,00;2.300.000,00;-200.000,00;-8;
1.01 . 1.01.02 . 21.27 . 5.2.1.01 ;Honorarium PNS ;2.500.000,00;2.300.000,00;-200.000,00;-8;
1.01 . 1.01.02 . 21.27 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.500.000,00;2.300.000,00;-200.000,00;-8;Honor panitia1 org/bjj x 2.300.000,00 = 2.300.000,00
1.01 . 1.01.02 . 21.27 . 5.2.2 ;Belanja Barang dan Jasa ;61.055.000,00;33.559.512,00;-27.495.488,00;-45,03;
1.01 . 1.01.02 . 21.27 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;15.500.000,00;334.212,00;-15.165.788,00;-97,84;
1.01 . 1.01.02 . 21.27 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;15.500.000,00;334.212,00;-15.165.788,00;-97,84;"Belanja ATK1 keg x 334.212,00 = 334.212,00
Belanja ATK peserta"
1.01 . 1.01.02 . 21.27 . 5.2.2.03 ;Belanja Jasa Kantor ;0;400.000,00;400.000,00;0;
1.01 . 1.01.02 . 21.27 . 5.2.2.03.13 ;Belanja Dokumentasi ;0;400.000,00;400.000,00;0;Belanja dokumentasi1 keg x 400.000,00 = 400.000,00
1.01 . 1.01.02 . 21.27 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;39.275.000,00;25.775.000,00;-13.500.000,00;-34,37;
1.01 . 1.01.02 . 21.27 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;525.000,00;525.000,00;0;0;Belanja makan minum rapat30 org x 17.500,00 = 525.000,00
1.01 . 1.01.02 . 21.27 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;38.750.000,00;25.250.000,00;-13.500.000,00;-34,84;"Belanja makan minum kegiatan
Belanja makan minum kegiatan penanaman iman, taqwa, dan akhlak mulia1,010 org x 25.000,00 = 25.250.000,00"
1.01 . 1.01.02 . 21.27 . 5.2.2.15 ;Belanja Perjalanan Dinas ;1.280.000,00;2.050.300,00;770.300,00;60,18;
1.01 . 1.01.02 . 21.27 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;1.280.000,00;2.050.300,00;770.300,00;60,18;"Perjalanan dinas dalam daerah
Golongan 425 org x 50.000,00 = 1.250.000,00
Golongan 320 org x 40.000,00 = 800.000,00
Golongan 210 org x 30,00 = 300,00"
1.01 . 1.01.02 . 21.27 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;5.000.000,00;5.000.000,00;0;0;
1.01 . 1.01.02 . 21.27 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;5.000.000,00;5.000.000,00;0;0;Honor narasumber25 org/jpl x 200.000,00 = 5.000.000,00
1.01 . 1.01.02 . 21.27 . 5.2.3 ;Belanja Modal ;40.000.000,00;20.000.000,00;-20.000.000,00;-50;
1.01 . 1.01.02 . 21.27 . 5.2.3.38 ;Belanja Modal Alat Peraga Pendidikan ;40.000.000,00;20.000.000,00;-20.000.000,00;-50;
1.01 . 1.01.02 . 21.27 . 5.2.3.38.01 ;Belanja Modal Alat Peraga Pendidikan ;40.000.000,00;20.000.000,00;-20.000.000,00;-50;"Belanja modal alat peraga pendidikan iman, taqwa dan akhlak mulia
Belanja modal alat peraga pendidikan iman, taqwa, dan akhlak mulia1 paket x 20.000.000,00 = 20.000.000,00"
1.01 . 1.01.02 . 21.28 ;Peningkatan Pelayanan Pendidikan Inklusi ;72.025.000,00;17.432.500,00;-54.592.500,00;-75,8;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.28 . 5.2.1 ;Belanja Pegawai ;25.850.000,00;950.000,00;-24.900.000,00;-96,32;
1.01 . 1.01.02 . 21.28 . 5.2.1.01 ;Honorarium PNS ;850.000,00;950.000,00;100.000,00;11,76;
1.01 . 1.01.02 . 21.28 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;850.000,00;950.000,00;100.000,00;11,76;Honor panitia1 org/bjj x 950.000,00 = 950.000,00
1.01 . 1.01.02 . 21.28 . 5.2.1.02 ;Honorarium Non PNS ;25.000.000,00;0;-25.000.000,00;-100;
1.01 . 1.01.02 . 21.28 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;25.000.000,00;0;-25.000.000,00;-100;"Honor pendidik dari guru tidak tetap
Honor pendidik/guru tidak tetap (non PNS) untuk pendidikan inklusif, selama 1 tahun"
1.01 . 1.01.02 . 21.28 . 5.2.2 ;Belanja Barang dan Jasa ;46.175.000,00;16.482.500,00;-29.692.500,00;-64,3;
1.01 . 1.01.02 . 21.28 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.375.000,00;612.500,00;-2.762.500,00;-81,85;
1.01 . 1.01.02 . 21.28 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;875.000,00;612.500,00;-262.500,00;-30;Belanja makan minum rapat35 org x 17.500,00 = 612.500,00
1.01 . 1.01.02 . 21.28 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;2.500.000,00;0;-2.500.000,00;-100;"Belanja makan minum kegiatan koordinasi/ sosialisasi pendidikan inklusif
Belanja makan minum kegiatan koordinasi/sosilisasi/lokakarya pendidikan inklusif"
1.01 . 1.01.02 . 21.28 . 5.2.2.15 ;Belanja Perjalanan Dinas ;0;870.000,00;870.000,00;0;
1.01 . 1.01.02 . 21.28 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;0;870.000,00;870.000,00;0;"Perjalanan dinas dalam daerah
Golongan 415 org x 50.000,00 = 750.000,00
Golongan 33 org x 40.000,00 = 120.000,00"
1.01 . 1.01.02 . 21.28 . 5.2.2.23 ;Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga;40.000.000,00;15.000.000,00;-25.000.000,00;-62,5;
1.01 . 1.01.02 . 21.28 . 5.2.2.23.01 ;Belanja Barang yang akan diserahkan kepada Masyarakat;40.000.000,00;15.000.000,00;-25.000.000,00;-62,5;"Belanja barang kebutuhan peserta didik berkebutuhan khusus
Belanja barang kebutuhan peserta didik berkebutuhan khusus sesuai kebutuhan masing-masing1 keg x 15.000.000,00 = 15.000.000,00"
1.01 . 1.01.02 . 21.28 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;2.800.000,00;0;-2.800.000,00;-100;
1.01 . 1.01.02 . 21.28 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;2.800.000,00;0;-2.800.000,00;-100;Honor narasumber/ pembinaan
1.20 . 1.01.02 . 30 ;Program Pengelolaaan Barang Daerah ;10.550.000,00;21.337.500,00;10.787.500,00;102,25;
1.20 . 1.01.02 . 30.10 ;Pendataan dan Pemetaan Barang dan Aset ;10.550.000,00;21.337.500,00;10.787.500,00;102,25;Sumber Dana : Dana Alokasi Umum (D A U)
1.20 . 1.01.02 . 30.10 . 5.2.1 ;Belanja Pegawai ;650.000,00;19.800.000,00;19.150.000,00;2.946,15;
1.20 . 1.01.02 . 30.10 . 5.2.1.01 ;Honorarium PNS ;650.000,00;19.800.000,00;19.150.000,00;2.946,15;
1.20 . 1.01.02 . 30.10 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;650.000,00;2.000.000,00;1.350.000,00;207,69;TPK Tim Kegiatan1 bjj x 2.000.000,00 = 2.000.000,00
1.20 . 1.01.02 . 30.10 . 5.2.1.01.04 ;;0;17.800.000,00;17.800.000,00;0;"TPK Tim Entry data28 org x 150.000,00 = 4.200.000,00
Petugas Entry Data Sekolah/UPT136 org x 100.000,00 = 13.600.000,00"
